NAMEID,Birth,Variable,COU,Country,Year,Value
,Select,,,,0,0
AFG,Afghanistan,Outflows of foreign population by nationality,AUS,Australia,2012,116
AFG,Afghanistan,Outflows of foreign population by nationality,AUT,Austria,2012,794
AFG,Afghanistan,Outflows of foreign population by nationality,DNK,Denmark,2012,31
AFG,Afghanistan,Outflows of foreign population by nationality,FIN,Finland,2012,4
AFG,Afghanistan,Outflows of foreign population by nationality,DEU,Germany,2012,1932
AFG,Afghanistan,Outflows of foreign population by nationality,HUN,Hungary,2012,0
AFG,Afghanistan,Outflows of foreign population by nationality,ISL,Iceland,2012,0
AFG,Afghanistan,Outflows of foreign population by nationality,ITA,Italy,2012,8
AFG,Afghanistan,Outflows of foreign population by nationality,JPN,Japan,2012,543
AFG,Afghanistan,Outflows of foreign population by nationality,KOR,Korea,2012,95
AFG,Afghanistan,Outflows of foreign population by nationality,LUX,Luxembourg,2012,2
AFG,Afghanistan,Outflows of foreign population by nationality,NLD,Netherlands,2012,65
AFG,Afghanistan,Outflows of foreign population by nationality,NZL,New Zealand,2012,2
AFG,Afghanistan,Outflows of foreign population by nationality,NOR,Norway,2012,58
AFG,Afghanistan,Outflows of foreign population by nationality,ESP,Spain,2012,47
AFG,Afghanistan,Outflows of foreign population by nationality,SWE,Sweden,2012,69
AFG,Afghanistan,Outflows of foreign population by nationality,CHE,Switzerland,2012,13
ALB,Albania,Outflows of foreign population by nationality,AUS,Australia,2012,21
ALB,Albania,Outflows of foreign population by nationality,AUT,Austria,2012,113
ALB,Albania,Outflows of foreign population by nationality,DNK,Denmark,2012,10
ALB,Albania,Outflows of foreign population by nationality,FIN,Finland,2012,2
ALB,Albania,Outflows of foreign population by nationality,DEU,Germany,2012,951
ALB,Albania,Outflows of foreign population by nationality,HUN,Hungary,2012,4
ALB,Albania,Outflows of foreign population by nationality,ISL,Iceland,2012,1
ALB,Albania,Outflows of foreign population by nationality,ITA,Italy,2012,1794
ALB,Albania,Outflows of foreign population by nationality,JPN,Japan,2012,56
ALB,Albania,Outflows of foreign population by nationality,KOR,Korea,2012,17
ALB,Albania,Outflows of foreign population by nationality,LUX,Luxembourg,2012,15
ALB,Albania,Outflows of foreign population by nationality,NLD,Netherlands,2012,66
ALB,Albania,Outflows of foreign population by nationality,NOR,Norway,2012,15
ALB,Albania,Outflows of foreign population by nationality,ESP,Spain,2012,177
ALB,Albania,Outflows of foreign population by nationality,SWE,Sweden,2012,18
ALB,Albania,Outflows of foreign population by nationality,CHE,Switzerland,2012,38
ALB,Albania,Outflows of foreign population by nationality,SVN,Slovenia,2012,1
DZA,Algeria,Outflows of foreign population by nationality,AUS,Australia,2012,27
DZA,Algeria,Outflows of foreign population by nationality,AUT,Austria,2012,238
DZA,Algeria,Outflows of foreign population by nationality,BEL,Belgium,2012,258
DZA,Algeria,Outflows of foreign population by nationality,DNK,Denmark,2012,10
DZA,Algeria,Outflows of foreign population by nationality,FIN,Finland,2012,3
DZA,Algeria,Outflows of foreign population by nationality,DEU,Germany,2012,1079
DZA,Algeria,Outflows of foreign population by nationality,HUN,Hungary,2012,3
DZA,Algeria,Outflows of foreign population by nationality,ISL,Iceland,2012,0
DZA,Algeria,Outflows of foreign population by nationality,ITA,Italy,2012,140
DZA,Algeria,Outflows of foreign population by nationality,JPN,Japan,2012,74
DZA,Algeria,Outflows of foreign population by nationality,KOR,Korea,2012,57
DZA,Algeria,Outflows of foreign population by nationality,LUX,Luxembourg,2012,22
DZA,Algeria,Outflows of foreign population by nationality,NLD,Netherlands,2012,33
DZA,Algeria,Outflows of foreign population by nationality,NZL,New Zealand,2012,1
DZA,Algeria,Outflows of foreign population by nationality,NOR,Norway,2012,14
DZA,Algeria,Outflows of foreign population by nationality,ESP,Spain,2012,5126
DZA,Algeria,Outflows of foreign population by nationality,SWE,Sweden,2012,18
DZA,Algeria,Outflows of foreign population by nationality,CHE,Switzerland,2012,52
AND,Andorra,Outflows of foreign population by nationality,AUS,Australia,2012,0
AND,Andorra,Outflows of foreign population by nationality,AUT,Austria,2012,0
AND,Andorra,Outflows of foreign population by nationality,FIN,Finland,2012,0
AND,Andorra,Outflows of foreign population by nationality,DEU,Germany,2012,2
AND,Andorra,Outflows of foreign population by nationality,HUN,Hungary,2012,0
AND,Andorra,Outflows of foreign population by nationality,ISL,Iceland,2012,0
AND,Andorra,Outflows of foreign population by nationality,ITA,Italy,2012,2
AND,Andorra,Outflows of foreign population by nationality,JPN,Japan,2012,1
AND,Andorra,Outflows of foreign population by nationality,LUX,Luxembourg,2012,0
AND,Andorra,Outflows of foreign population by nationality,NOR,Norway,2012,0
AND,Andorra,Outflows of foreign population by nationality,ESP,Spain,2012,124
AND,Andorra,Outflows of foreign population by nationality,SWE,Sweden,2012,0
AND,Andorra,Outflows of foreign population by nationality,CHE,Switzerland,2012,2
AGO,Angola,Outflows of foreign population by nationality,AUT,Austria,2012,7
AGO,Angola,Outflows of foreign population by nationality,DNK,Denmark,2012,0
AGO,Angola,Outflows of foreign population by nationality,FIN,Finland,2012,3
AGO,Angola,Outflows of foreign population by nationality,DEU,Germany,2012,299
AGO,Angola,Outflows of foreign population by nationality,HUN,Hungary,2012,0
AGO,Angola,Outflows of foreign population by nationality,ISL,Iceland,2012,0
AGO,Angola,Outflows of foreign population by nationality,ITA,Italy,2012,11
AGO,Angola,Outflows of foreign population by nationality,JPN,Japan,2012,126
AGO,Angola,Outflows of foreign population by nationality,KOR,Korea,2012,38
AGO,Angola,Outflows of foreign population by nationality,LUX,Luxembourg,2012,3
